A0A183	IPI00807623
P33992	IPI00018350
P33993	IPI00219740
P33993	IPI00299904
P34022	IPI00321978
P34047	IPI00523383
P34047	IPI00541298
P34056	IPI00112753
P34056	IPI00226893
P34056	IPI00226894
P34056	IPI00226897
P34057	IPI00222363
P34058	IPI00471584
P34059	IPI00029605
P34064	IPI00191502
P34065	IPI00588430
P34066	IPI00525551
P34067	IPI00191505
P34080	IPI00562696
P34096	IPI00029699
P34130	IPI00030097
P34131	IPI00192312
P34152	IPI00113563
P34152	IPI00230629
P34152	IPI00338858
P34152	IPI00625418
P34152	IPI00875543
P34152	IPI00895208
P34152	IPI00895269
P34152	IPI00895396
P34158	IPI00655257
P34207	IPI00193131
P34741	IPI00300407
P34743	IPI00590195
P34788	IPI00532609
P34789	IPI00522792
P34790	IPI00540225
P34791	IPI00517879
P34795	IPI00531102
P34802	IPI00516537
P34810	IPI00002252
P34810	IPI00217167
P34810	IPI00744995
P34820	IPI00300779
P34821	IPI00118572
P34822	IPI00592509
P34881	IPI00536256
P34884	IPI00230427
P34893	IPI00526449
P34896	IPI00002519
P34896	IPI00220668
P34896	IPI00220669
P34897	IPI00002520
P34897	IPI00795816
P34900	IPI00231723
P34901	IPI00199629
P34902	IPI00119612
P34903	IPI00002897
P34904	IPI00595504
P34910	IPI01014207
P34913	IPI00104341
P34913	IPI00984813
P34914	IPI00321617
P34914	IPI00407606
P34925	IPI00219225
P34925	IPI00298345
P34926	IPI00199693
P34927	IPI00129677
P34927	IPI00555036
P34928	IPI00119676
P34931	IPI00301277
P34931	IPI00939442
P34932	IPI00002966
P34933	IPI00710052
P34942	IPI00709638
P34943	IPI00699499
P34947	IPI00414058
P34949	IPI00219358
P34949	IPI00332187
P34955	IPI00695489
P34960	IPI00321648
P34963	IPI00584750
P34968	IPI00314137
P34969	IPI00003048
P34969	IPI00015395
P34969	IPI00553192
P34971	IPI00119827
P34972	IPI00003060
P34974	IPI00717263
P34975	IPI00199851
P34978	IPI00325303
P34979	IPI00689301
P34979	IPI00699321
P34979	IPI00701261
P34979	IPI00712178
P34980	IPI00210321
P34980	IPI00231640
P34980	IPI00231725
P34981	IPI00003065
P34982	IPI00003067
P34983	IPI00110883
P34984	IPI00226883
P34985	IPI00229005
P34986	IPI00410946
P34987	IPI00199908
P34993	IPI00706999
P34995	IPI00003081
P34996	IPI00576670
P34997	IPI00199947
P34998	IPI00003083
P34998	IPI00219267
P34998	IPI00219268
P34998	IPI00219269
P35000	IPI00324695
P35001	IPI00585763
P35030	IPI00015614
P35030	IPI00220839
P35030	IPI00385250
P35030	IPI00843764
P35052	IPI00015688
P35053	IPI00194930
P35062	IPI00580239
P35070	IPI00015755
P35071	IPI00690322
P35080	IPI00219468
P35080	IPI00795892
P35080	IPI00940567
P35123	IPI00115701
P35125	IPI00423562
P35125	IPI00423563
P35125	IPI00423565
P35131	IPI00526510
P35131	IPI00536307
P35131	IPI00537689
P35132	IPI00523453
P35132	IPI00528858
P35133	IPI00547528
P35134	IPI00539758
P35171	IPI00195860
P35173	IPI00115832
P35174	IPI00115835
P35174	IPI00408651
P35175	IPI00554958
P35212	IPI00219023
P35213	IPI00230837
P35213	IPI00760126
P35218	IPI00017262
P35219	IPI00219669
P35221	IPI00215948
P35221	IPI00473136
P35221	IPI00984217
P35222	IPI00017292
P35222	IPI00787027
P35222	IPI00927799
P35225	IPI00807607
P35226	IPI00017299
P35227	IPI00017302
P35228	IPI00017304
P35228	IPI00220339
P35230	IPI00116548
P35231	IPI00196686
P35232	IPI00017334
P35233	IPI00196687
P35234	IPI00196688
P35235	IPI00116554
P35235	IPI00316479
P35236	IPI00081833
P35236	IPI00514108
P35236	IPI00946771
P35237	IPI00413451
P35237	IPI00749398
P35240	IPI00216128
P35240	IPI00220308
P35240	IPI00220310
P35240	IPI00220311
P35240	IPI00220312
P35240	IPI00220314
P35240	IPI00220315
P35240	IPI00304755
P35240	IPI00414202
P35240	IPI00414431
P35241	IPI00017367
P35241	IPI00903145
P35241	IPI01009289
P35242	IPI00282403
P35243	IPI00219720
P35244	IPI00017373
P35246	IPI00694422
P35247	IPI00291878
P35248	IPI00196704
P35249	IPI00017381
P35250	IPI00017412
P35250	IPI00218280
P35251	IPI00375358
P35251	IPI00375359
P35268	IPI00219153
P35269	IPI00017450
P35270	IPI00017469
P35276	IPI00116688
P35278	IPI00224518
P35279	IPI00116697
P35279	IPI00230011
P35280	IPI00196789
P35281	IPI00196790
P35282	IPI00337980
P35283	IPI00169699
P35284	IPI00876621
P35285	IPI00116729
P35286	IPI00202697
P35288	IPI00116734
P35289	IPI00196795
P35290	IPI00116760
P35292	IPI00116768
P35293	IPI00116770
P35294	IPI00116775
P35295	IPI00116777
P35318	IPI00017968
P35321	IPI00017987
P35325	IPI00017992
P35326	IPI00017993
P35329	IPI00117413
P35329	IPI00228046
P35329	IPI00228047
P35330	IPI00117424
P35331	IPI00573864
P35331	IPI00578409
P35331	IPI00585827
P35331	IPI00593270
P35331	IPI00596613
P35332	IPI00231513
P35343	IPI00117446
P35345	IPI00197625
P35346	IPI00018079
P35347	IPI00117450
P35348	IPI00430195
P35348	IPI00430197
P35348	IPI00430199
P35348	IPI00430201
P35348	IPI00430202
P35348	IPI00430203
P35348	IPI00430204
P35348	IPI00430205
P35348	IPI00954300
P35349	IPI00197626
P35350	IPI00696463
P35351	IPI00197641
P35353	IPI00211719
P35354	IPI00018109
P35355	IPI00197645
P35359	IPI00504217
P35363	IPI00117490
P35364	IPI00197661
P35365	IPI00197662
P35367	IPI00018147
P35368	IPI00218912
P35370	IPI00197685
P35372	IPI00217416
P35372	IPI00514084
P35372	IPI00922177
P35372	IPI00922430
P35372	IPI00922493
P35372	IPI00922515
P35372	IPI00922551
P35372	IPI00922644
P35372	IPI00922913
P35372	IPI00942295
P35372	IPI00943201
P35372	IPI00967650
P35372	IPI00975883
P35372	IPI00977804
P35374	IPI00985658
P35375	IPI00117523
P35376	IPI00708893
P35377	IPI00117529
P35377	IPI00225779
P35377	IPI00225780
P35377	IPI00225781
P35377	IPI00225783
P35377	IPI00378023
P35378	IPI00117530
P35383	IPI00117550
P35384	IPI00706442
P35385	IPI00117556
P35385	IPI00556871
P35396	IPI00271799
P35398	IPI00018225
P35398	IPI00107635
P35398	IPI00218544
P35398	IPI00243584
P35400	IPI00198587
P35402	IPI00521778
P35407	IPI00198588
P35408	IPI00018648
P35410	IPI00018669
P35411	IPI00198598
P35412	IPI00118301
P35413	IPI00118302
P35414	IPI00018672
P35419	IPI00118312
P35426	IPI00198608
P35427	IPI00655314
P35428	IPI00118341
P35429	IPI00198610
P35431	IPI00595969
P35431	IPI00760361
P35433	IPI00198619
P35434	IPI00198620
P35435	IPI00948302
P35436	IPI00118380
P35438	IPI00118385
P35438	IPI00608056
P35439	IPI00198625
P35439	IPI00231254
P35439	IPI00231255
P35439	IPI00231256
P35439	IPI00231257
P35439	IPI00231259
P35439	IPI00389747
P35440	IPI00583276
P35441	IPI00118413
P35442	IPI00018769
P35443	IPI00328550
P35444	IPI00198640
P35445	IPI00686970
P35446	IPI00198642
P35452	IPI00784701
P35453	IPI00871270
P35454	IPI00118469
P35455	IPI00118471
P35456	IPI00118475
P35456	IPI00118482
P35458	IPI00600697
P35459	IPI00118487
P35460	IPI00118509
P35461	IPI00850120
P35462	IPI00018843
P35462	IPI00798154
P35465	IPI00198685
P35466	IPI00698663
P35467	IPI00230855
P35475	IPI00018879
P35478	IPI00690980
P35486	IPI00337893
P35487	IPI00118594
P35492	IPI00118625
P35498	IPI00018934
P35498	IPI00748990
P35498	IPI00917812
P35499	IPI00292393
P35503	IPI00473079
P35504	IPI00472824
P35505	IPI00310035
P35507	IPI00690373
P35508	IPI00699094
P35509	IPI00713804
P35510	IPI00519512
P35520	IPI00219352
P35520	IPI00219649
P35523	IPI00293558
P35524	IPI00199559
P35525	IPI00199560
P35526	IPI00713220
P35527	IPI00019359
P35541	IPI00685653
P35542	IPI00019399
P35544	IPI00974363
P35545	IPI00382031
P35546	IPI00463765
P35546	IPI00463766
P35548	IPI00292686
P35550	IPI00119581
P35555	IPI00328113
P35556	IPI00019439
P35556	IPI00930504
P35557	IPI00218767
P35557	IPI00218768
P35557	IPI00244083
P35558	IPI00292709
P35559	IPI00199609
P35560	IPI00199632
P35560	IPI00200990
P35560	IPI00231835
P35560	IPI00231836
P35560	IPI00231837
P35560	IPI00231838
P35561	IPI00119613
P35563	IPI00388902
P35564	IPI00119618
P35565	IPI00199636
P35568	IPI00019471
P35569	IPI00119627
P35570	IPI00199662
P35571	IPI00199663
P35572	IPI00199664
P35573	IPI00219065
P35573	IPI00219066
P35573	IPI00514126
P35573	IPI00748506
P35575	IPI00019500
P35575	IPI00910642
P35576	IPI00119645
P35577	IPI00199665
P35579	IPI00019502
P35579	IPI00395772
P35580	IPI00397526
P35580	IPI00479307
P35580	IPI00790503
P35582	IPI00310116
P35583	IPI00119671
P35584	IPI00119677
P35585	IPI00119680
P35590	IPI00019530
P35590	IPI00936406
P35590	IPI01009976
P35601	IPI00378168
P35601	IPI00896013
P35604	IPI00685319
P35605	IPI00706476
P35606	IPI00220219
P35608	IPI00577109
P35609	IPI00019884
P35610	IPI00745125
P35611	IPI00019901
P35611	IPI00220158
P35611	IPI00253279
P35612	IPI00019904
P35612	IPI00220240
P35612	IPI00220241
P35612	IPI00654787
P35612	IPI00719156
P35612	IPI00924848
P35612	IPI00942277
P35612	IPI00981413
P35613	IPI00019906
P35613	IPI00218019
P35613	IPI00394877
P35613	IPI01010766
P35614	IPI00523831
P35621	IPI00489830
P35625	IPI00218247
P35626	IPI00019926
P35631	IPI00543034
P35632	IPI00536950
P35637	IPI00221354
P35637	IPI00260715
P35638	IPI00019956
P35638	IPI00798213
P35639	IPI00120656
P35658	IPI00183294
P35658	IPI00646361
P35658	IPI00900318
P35658	IPI00900325
P35658	IPI00900331
P35659	IPI00020021
P35659	IPI00942944
P35662	IPI00688728
P35663	IPI00020039
P35670	IPI00020058
P35670	IPI00216296
P35670	IPI00515019
P35670	IPI00658175
P35680	IPI00020078
P35680	IPI00219911
P35680	IPI00219912
P35689	IPI00310463
P35700	IPI00121788
P35704	IPI00201561
P35705	IPI00696824
P35710	IPI00128018
P35710	IPI00466410
P35710	IPI00467353
P35711	IPI00166143
P35711	IPI00171247
P35711	IPI00216317
P35711	IPI00221270
P35711	IPI01010805
P35712	IPI00218631
P35712	IPI00641980
P35712	IPI00872738
P35712	IPI00926649
P35713	IPI00020428
P35716	IPI00020435
P35720	IPI00700619
P35722	IPI00884880
P35737	IPI00121908
P35738	IPI00201636
P35739	IPI00201638
P35739	IPI00231206
P35745	IPI00968497
P35749	IPI00020501
P35749	IPI00024870
P35749	IPI00743857
P35749	IPI00744256
P35754	IPI00219025
P35761	IPI00122018
P35761	IPI00762064
P35762	IPI00310916
P35762	IPI00405736
P35763	IPI00201727
P35789	IPI00384789
P35789	IPI00396397
P35789	IPI00552967
P35790	IPI00409761
P35790	IPI00409762
P35802	IPI00122974
P35803	IPI00119952
P35803	IPI00122975
P35803	IPI00230089
P35803	IPI00230090
P35803	IPI00230091
P35803	IPI00230092
P35803	IPI00268767
P35803	IPI00274767
P35813	IPI00020950
P35813	IPI00216196
P35815	IPI00480583
P35815	IPI00560728
P35816	IPI00837836
P35821	IPI00123039
P35822	IPI00123040
P35831	IPI00337948
P35833	IPI00699490
P35846	IPI00123114
P35846	IPI00331283
P35858	IPI00020996
P35858	IPI00925635
P35859	IPI00202416
P35869	IPI00021008
P35894	IPI00230978
P35895	IPI01016309
P35896	IPI00202908
P35897	IPI00202910
P35898	IPI00202911
P35899	IPI01016448
P35900	IPI00021298
P35908	IPI00021304
P35913	IPI00784027
P35913	IPI00921912
P35913	IPI00922666
P35914	IPI00293564
P35915	IPI00590235
P35916	IPI00293565
P35916	IPI00337568
P35917	IPI00273133
P35918	IPI00124326
P35922	IPI00227005
P35922	IPI00227006
P35922	IPI00227007
P35922	IPI00227008
P35922	IPI00227013
P35922	IPI00230029
P35922	IPI00230030
P35922	IPI00230031
P35922	IPI00270737
P35922	IPI00469993
P35922	IPI00474739
P35922	IPI00475390
P35951	IPI00312063
P35951	IPI00785217
P35952	IPI00203747
P35968	IPI00021396
P35969	IPI00124497
P35979	IPI00849793
P35980	IPI00555113
P35991	IPI00312116
P35998	IPI00021435
P36021	IPI00000655
P36195	IPI00584380
P36196	IPI00575147
P36197	IPI00589527
P36198	IPI00199572
P36201	IPI00200352
P36202	IPI00200353
P36210	IPI00541602
P36211	IPI00536282
P36212	IPI00540051
P36222	IPI00002147
P36225	IPI00688081
P36225	IPI00692079
P36225	IPI01017553
P36225	IPI01017561
P36268	IPI00878291
P36268	IPI00894564
P36269	IPI00002243
P36269	IPI00339373
P36269	IPI00855794
P36363	IPI00121803
P36364	IPI00201563
P36365	IPI00201564
P36368	IPI00121818
P36369	IPI00121821
P36370	IPI00325618
P36371	IPI00121842
P36372	IPI00325619
P36373	IPI00201592
P36374	IPI00201593
P36375	IPI00886439
P36376	IPI00201595
P36377	IPI00575874
P36380	IPI00201618
P36381	IPI00586714
P36382	IPI00217262
P36383	IPI00002946
P36394	IPI00551785
P36397	IPI00531253
P36402	IPI00003325
P36402	IPI00219960
P36402	IPI00219961
P36402	IPI00219962
P36402	IPI00219964
P36402	IPI00219965
P36402	IPI00334125
P36402	IPI00385101
P36402	IPI00402002
P36402	IPI00477092
P36402	IPI00477635
P36402	IPI00478219
P36402	IPI00478950
P36402	IPI00478992
P36402	IPI00479370
P36402	IPI00479759
P36404	IPI00003326
P36405	IPI00003327
P36406	IPI00003328
P36406	IPI00018593
P36406	IPI00220244
P36407	IPI00388038
P36407	IPI00569056
P36423	IPI00322543
P36428	IPI00537243
P36428	IPI00760312
P36506	IPI00231331
P36507	IPI00003783
P36508	IPI00003784
P36508	IPI00218817
P36510	IPI00203471
P36511	IPI00203473
P36536	IPI00322794
P36537	IPI00003836
P36542	IPI00395769
P36542	IPI00478410
P36543	IPI00003856
P36543	IPI00719366
P36543	IPI00719806
P36544	IPI00003858
P36544	IPI00942337
P36551	IPI00093057
P36552	IPI00400301
P36575	IPI00003917
P36575	IPI00644870
P36576	IPI01016571
P36577	IPI00203634
P36578	IPI00003918
P36633	IPI00204571
P36639	IPI00004392
P36639	IPI00396056
P36639	IPI00759462
P36639	IPI00759578
P36776	IPI00005158
P36776	IPI00642982
P36860	IPI00206703
P36871	IPI00217872
P36871	IPI00219526
P36871	IPI00746758
P36871	IPI00955977
P36873	IPI00005705
P36873	IPI00218187
P36876	IPI00326486
P36877	IPI00206749
P36877	IPI00561842
P36888	IPI00945045
P36888	IPI01010459
P36894	IPI00005731
P36895	IPI00128193
P36896	IPI00005732
P36896	IPI00218980
P36896	IPI00297220
P36897	IPI00005733
P36897	IPI00844074
P36897	IPI01018344
P36898	IPI00128197
P36915	IPI00396387
P36915	IPI00479495
P36916	IPI00762316
P36916	IPI00855216
P36940	IPI00326685
P36941	IPI00006097
P36941	IPI01015852
P36952	IPI00472082
P36952	IPI00644196
P36952	IPI00783625
P36953	IPI00207668
P36954	IPI00006113
P36955	IPI00006114
P36956	IPI00220878
P36956	IPI00418428
P36956	IPI00419318
P36956	IPI00795043
P36956	IPI01011320
P36957	IPI00420108
P36959	IPI00304803
P36969	IPI00304814
P36969	IPI00745335
P36970	IPI00326703
P36970	IPI00760136
P36972	IPI00950965
P36980	IPI00006154
P36980	IPI00218949
P36993	IPI00222989
P36993	IPI00399550
P36993	IPI00466073
P36993	IPI00854950
P36993	IPI00876176
P37023	IPI01013348
P37040	IPI00621548
P37042	IPI00580645
P37058	IPI00019871
P37059	IPI00019872
P37067	IPI00600836
P37068	IPI00574717
P37069	IPI00578309
P37070	IPI00651499
P37071	IPI00585103
P37072	IPI00599056
P37088	IPI00019931
P37088	IPI00334114
P37088	IPI00334115
P37088	IPI00334116
P37088	IPI00334117
P37088	IPI00929433
P37089	IPI00202485
P37090	IPI00325744
P37091	IPI00325745
P37106	IPI00526094
P37107	IPI00538977
P37108	IPI00293434
P37136	IPI00203357
P37136	IPI00231569
P37136	IPI00231570
P37141	IPI00691474
P37172	IPI00409269
P37173	IPI00020431
P37173	IPI00164934
P37198	IPI00293533
P37199	IPI00203525
P37200	IPI00204280
P37217	IPI00125065
P37230	IPI00204351
P37231	IPI00020897
P37231	IPI00853091
P37231	IPI00926009
P37235	IPI00219344
P37237	IPI00125192
P37237	IPI00230745
P37237	IPI00230746
P37238	IPI00125193
P37238	IPI00266075
P37242	IPI00125236
P37242	IPI00125243
P37268	IPI00020944
P37271	IPI00527204
P37275	IPI00375505
P37275	IPI00514481
P37275	IPI00942556
P37275	IPI00956700
P37275	IPI01015365
P37285	IPI00190479
P37285	IPI00231498
P37285	IPI00764713
P37287	IPI00020966
P37287	IPI00220404
P37287	IPI00942148
P37288	IPI00020968
P37289	IPI00694298
P37301	IPI00591909
P37359	IPI00697902
P37361	IPI00205463
P37377	IPI00205493
P37377	IPI00231846
P37377	IPI00388903
P37383	IPI00593131
P37397	IPI00205566
P37702	IPI00522086
P37702	IPI00539116
P37727	IPI00209504
P37802	IPI00550363
P37804	IPI00226515
P37805	IPI00210532
P37837	IPI00744692
P37840	IPI00024107
P37840	IPI00218467
P37840	IPI00218468
P37889	IPI00132067
P37889	IPI00750260
P37913	IPI00473314
P37980	IPI00687219
P37996	IPI00231228
P38024	IPI00602224
P38025	IPI00548736
P38060	IPI00127625
P38062	IPI00480610
P38117	IPI00004902
P38117	IPI00556451
P38159	IPI00304692
P38159	IPI00552938
P38389	IPI00525929
P38398	IPI00027272
P38398	IPI00027277
P38398	IPI00185298
P38398	IPI00218982
P38398	IPI00909467
P38398	IPI00945705
P38405	IPI00006395
P38405	IPI00788932
P38406	IPI00210346
P38408	IPI00718393
P38409	IPI00704832
P38418	IPI00548522
P38420	IPI00524372
P38421	IPI00518175
P38432	IPI00006442
P38435	IPI00305698
P38435	IPI00915421
P38438	IPI00327360
P38444	IPI00373614
P38445	IPI00231510
P38447	IPI00709124
P38483	IPI00210610
P38484	IPI00221193
P38529	IPI00584898
P38530	IPI00954738
P38531	IPI00582276
P38532	IPI00132662
P38532	IPI00230223
P38533	IPI00132664
P38533	IPI00230268
P38552	IPI00211324
P38557	IPI00539131
P38558	IPI00548302
P38567	IPI00170588
P38567	IPI00219717
P38570	IPI00007205
P38571	IPI00007207
P38571	IPI00446007
P38572	IPI00903670
P38573	IPI00706943
P38574	IPI00718550
P38575	IPI00132807
P38584	IPI00692056
P38585	IPI00409179
P38605	IPI00535551
P38606	IPI00007682
P38639	IPI00474166
P38640	IPI00474480
P38641	IPI00475397
P38642	IPI00473311
P38643	IPI00464233
P38644	IPI00474589
P38646	IPI00007765
P38647	IPI00133903
P38647	IPI00880839
P38649	IPI00331267
P38650	IPI00327630
P38652	IPI00231641
P38656	IPI00212219
P38657	IPI00689325
P38659	IPI00212220
P38666	IPI00547637
P38718	IPI00212980
P38718	IPI00232012
P38918	IPI00328013
P38919	IPI00009328
P38935	IPI00009379
P38936	IPI00009384
P38983	IPI00215107
P39019	IPI00215780
P39020	IPI00210232
P39022	IPI00600708
P39023	IPI00550021
P39032	IPI00231352
P39038	IPI00131397
P39039	IPI00131398
P39039	IPI00954631
P39052	IPI00210319
P39052	IPI00389749
P39052	IPI00947905
P39052	IPI00952120
P39053	IPI00272878
P39053	IPI00331291
P39053	IPI00331293
P39053	IPI00465648
P39053	IPI00753037
P39053	IPI00845595
P39054	IPI00131445
P39054	IPI00314883
P39059	IPI00295414
P39060	IPI00022822
P39060	IPI00414694
P39060	IPI00783931
P39061	IPI00131476
P39061	IPI00230616
P39061	IPI00284816
P39069	IPI00210351
P39086	IPI00783047
P39086	IPI00937051
P39087	IPI00131566
P39087	IPI00223171
P39098	IPI00131609
P39098	IPI00515213
P39207	IPI00521214
P39210	IPI00023958
P39428	IPI00135899
P39429	IPI00135901
P39429	IPI00271450
P39447	IPI00135971
P39654	IPI00553304
P39655	IPI00308268
P39656	IPI00297084
P39687	IPI00025849
P39687	IPI00479054
P39688	IPI00322097
P39688	IPI00762435
P39689	IPI00108058
P39697	IPI00544075
P39748	IPI00026215
P39749	IPI00990732
P39872	IPI00687634
P39873	IPI00716846
P39876	IPI00110370
P39877	IPI00026664
P39878	IPI00231996
P39880	IPI00026673
P39880	IPI00419894
P39880	IPI00472247
P39880	IPI00736943
P39880	IPI00741668
P39880	IPI00742111
P39880	IPI00982754
P39900	IPI00298246
P39905	IPI00026858
P39905	IPI00375525
P39905	IPI00848254
P39905	IPI00848296
P39942	IPI00688634
P39947	IPI00199131
P39948	IPI00190352
P39949	IPI00190353
P39950	IPI00231326
P39951	IPI00190390
P39963	IPI00578780
P40112	IPI00214889
P40121	IPI00027341
P40121	IPI00916783
P40123	IPI00027342
P40124	IPI00137331
P40126	IPI00027343
P40126	IPI00798153
P40142	IPI00137409
P40145	IPI00027356
P40146	IPI00214981
P40189	IPI00297124
P40189	IPI00554518
P40189	IPI00939624
P40190	IPI00565057
P40197	IPI00027410
P40198	IPI00027411
P40198	IPI00289794
P40198	IPI00411778
P40199	IPI00027412
P40200	IPI00027604
P40200	IPI00396403
P40201	IPI00107999
P40205	IPI00027605
P40220	IPI00602403
P40222	IPI00470779
P40223	IPI00108060
P40224	IPI00108061
P40224	IPI00553271
P40225	IPI00218254
P40225	IPI00219943
P40225	IPI00411545
P40226	IPI00108063
P40226	IPI00230271
P40227	IPI00027626
P40227	IPI00552590
P40228	IPI00537439
P40229	IPI00524738
P40237	IPI00108098
P40238	IPI00027637
P40238	IPI00218148
P40240	IPI00221921
P40241	IPI00187902
P40259	IPI00027668
P40259	IPI00218810
P40261	IPI00027681
P40283	IPI00529426
P40293	IPI00699756
P40293	IPI00703159
P40305	IPI00793404
P40306	IPI00027933
P40307	IPI00188584
P40313	IPI00643847
P40329	IPI00188665
P40336	IPI00329942
P40336	IPI00776216
P40337	IPI00027969
P40337	IPI00336024
P40337	IPI00939404
P40338	IPI00109233
P40394	IPI00872487
P40394	IPI00908386
P40424	IPI00028415
P40424	IPI00215683
P40424	IPI01009062
P40425	IPI00028416
P40426	IPI00028417
P40426	IPI00215866
P40426	IPI00215867
P40426	IPI00215868
P40426	IPI01012751
P40429	IPI00304612
P40602	IPI00538578
P40615	IPI00191460
P40616	IPI00219518
P40617	IPI00029596
P40618	IPI00580706
P40618	IPI00591130
P40630	IPI00112822
P40630	IPI00230512
P40645	IPI00620986
P40645	IPI00623688
P40646	IPI00112869
P40665	IPI00574315
P40666	IPI00594121
P40667	IPI00601658
P40668	IPI00600355
P40669	IPI00588027
P40670	IPI00575625
P40671	IPI00597041
P40673	IPI00689856
P40682	IPI00686260
P40692	IPI00029754
P40692	IPI00742734
P40692	IPI00924824
P40694	IPI00113033
P40748	IPI00192477
P40749	IPI00113649
P40753	IPI00113667
P40753	IPI00230102
P40763	IPI00306436
P40763	IPI00784414
P40764	IPI00113692
P40818	IPI00030915
P40855	IPI00441867
P40855	IPI00939321
P40879	IPI00031036
P40925	IPI00291005
P40925	IPI00916111
P40925	IPI00952583
P40926	IPI00291006
P40933	IPI00031509
P40933	IPI00220638
P40935	IPI00114624
P40936	IPI00114628
P40937	IPI00031514
P40937	IPI00925306
P40938	IPI00031521
P40938	IPI00373882
P40939	IPI00031522
P40940	IPI00547308
P40940	IPI00846551
P40941	IPI00537792
P40967	IPI00031630
P40967	IPI00795159
P40967	IPI00797732
P40967	IPI00952617
P40967	IPI00952781
P41002	IPI00297860
P41034	IPI00189415
P41047	IPI00110272
P41047	IPI00227798
P41088	IPI00534732
P41091	IPI00297982
P41105	IPI00222547
P41123	IPI00230916
P41125	IPI00586858
P41127	IPI00547367
P41133	IPI00111445
P41134	IPI00012718
P41134	IPI00218515
P41135	IPI00190322
P41135	IPI00231887
P41136	IPI00111448
P41137	IPI00190324
P41138	IPI00190326
P41139	IPI00111453
P41143	IPI00298305
P41145	IPI00012735
P41145	IPI00789992
P41146	IPI00012736
P41146	IPI00215696
P41149	IPI00987267
P41151	IPI00546157
P41155	IPI00111499
P41156	IPI00475631
P41158	IPI00111502
P41159	IPI00012760
P41160	IPI00111526
P41161	IPI01010250
P41162	IPI00032598
P41162	IPI00514913
P41163	IPI00318735
P41163	IPI00989814
P41164	IPI00407386
P41180	IPI00012817
P41180	IPI00216479
P41181	IPI00012818
P41182	IPI00012820
P41182	IPI00910693
P41183	IPI00111606
P41208	IPI00215928
P41209	IPI00112519
P41212	IPI00013159
P41214	IPI00013160
P41214	IPI00183443
P41216	IPI00112549
P41217	IPI00013162
P41217	IPI00465447
P41217	IPI00971173
P41218	IPI00013163
P41219	IPI00013164
P41219	IPI00793184
P41220	IPI00013177
P41220	IPI01017891
P41220	IPI01017975
P41220	IPI01018248
P41221	IPI00013178
P41221	IPI00795811
P41222	IPI00013179
P41223	IPI00013180
P41224	IPI00231140
P41225	IPI00240510
P41226	IPI00013183
P41227	IPI00013184
P41227	IPI00440719
P41229	IPI00013185
P41229	IPI00219412
P41229	IPI00640875
P41229	IPI00879547
P41229	IPI01012687
P41230	IPI00112611
P41230	IPI00221399
P41230	IPI00776021
P41231	IPI00298653
P41232	IPI00191334
P41233	IPI00112614
P41234	IPI00112616
P41235	IPI00013196
P41235	IPI00216080
P41235	IPI00300558
P41235	IPI00412368
P41235	IPI00641248
P41235	IPI00645235
P41235	IPI00847265
P41236	IPI00220402
P41237	IPI00191337
P41238	IPI00013200
P41239	IPI00597367
P41240	IPI00013212
P41241	IPI00112648
P41242	IPI00271198
P41242	IPI00461862
P41242	IPI00990057
P41243	IPI00191366
P41244	IPI00191367
P41245	IPI00319200
P41247	IPI00013218
P41247	IPI00956229
P41250	IPI00783097
P41251	IPI00112687
P41252	IPI00644127
P41263	IPI00571731
P41271	IPI00013299
P41271	IPI00852617
P41272	IPI00112752
P41273	IPI00013301
P41274	IPI00112755
P41279	IPI00298726
P41279	IPI00759772
P41317	IPI00113457
P41350	IPI00192313
P41350	IPI00896144
P41361	IPI00688316
P41366	IPI00596061
P41376	IPI00530767
P41377	IPI00522023
P41413	IPI00958093
P41438	IPI00113966
P41438	IPI00227964
P41438	IPI00474196
P41439	IPI00014287
P41439	IPI00218867
P41440	IPI00375452
P41440	IPI00748975
P41440	IPI00978143
P41498	IPI00206664
P41498	IPI00231705
P41499	IPI00324561
P41499	IPI00563975
P41500	IPI00708030
P41500	IPI00852566
P41516	IPI00193944
P41520	IPI00693774
P41534	IPI00571878
P41534	IPI00590179
P41534	IPI00595297
P41539	IPI00114504
P41539	IPI00223287
P41541	IPI00702314
P41542	IPI00324618
P41562	IPI00194045
P41563	IPI00699016
P41565	IPI00194047
P41567	IPI00015077
P41568	IPI00529048
P41586	IPI00299406
P41586	IPI00437612
P41586	IPI00917967
P41587	IPI00420122
P41588	IPI00114615
P41593	IPI00114634
P41594	IPI00220277
P41594	IPI00296244
P41594	IPI00797769
P41595	IPI00015134
P41597	IPI00015137
P41597	IPI00218945
P41682	IPI00324743
P41731	IPI00224728
P41732	IPI00941552
P41738	IPI00231916
P41738	IPI00364957
P41739	IPI00195864
P41740	IPI00195882
P41743	IPI00016639
P41777	IPI00195961
P41778	IPI00115998
P41778	IPI00230237
P41916	IPI00543782
P41917	IPI00535542
P41968	IPI00018253
P41969	IPI00117627
P41970	IPI00018266
P41971	IPI00320634
P41976	IPI00692468
P41984	IPI00690866
P41985	IPI00693571
P41986	IPI00867162
P41987	IPI00694925
P42025	IPI00029469
P42026	IPI00697645
P42028	IPI00707212
P42029	IPI00692422
P42036	IPI00547629
P42043	IPI00539854
P42081	IPI00290621
P42081	IPI00397658
P42081	IPI00473032
P42081	IPI00947322
P42082	IPI00620020
P42082	IPI00828409
P42123	IPI00231783
